id,fecha,prices,market_caps,total_volumes
bitcoin,2018-09-10,6260.7648,108219061918.52274,4174629547.594032
bitcoin,2018-09-11,6308.1355,108846231385.41852,4504626593.565221
bitcoin,2018-09-12,6278.9171,108449181464.89592,5001529025.0324745
bitcoin,2018-09-13,6330.5742,109298582014.21779,5026516732.831187
bitcoin,2018-09-14,6486.4616,112124461661.13242,4987196751.843109
bitcoin,2018-09-15,6500.0123,112334356298.05247,5350596522.1363
bitcoin,2018-09-16,6530.2211,112796085614.54744,4295951323.506035
bitcoin,2018-09-17,6506.2485,112373562206.64603,4715407407.2624035
bitcoin,2018-09-18,6250.1217,107960190646.44861,4600931272.400568
bitcoin,2018-09-19,6347.0693,109629673484.58704,4472798160.224327
bitcoin,2018-09-20,6383.7538,110292032124.89343,5380977505.120019
bitcoin,2018-09-21,6491.8852,112172960507.04015,5059042419.562756
bitcoin,2018-09-22,6753.8345,116710823191.41154,5931455399.756281
bitcoin,2018-09-23,6747.0322,116607568773.97198,5159534298.571353
bitcoin,2018-09-24,6711.0295,116001860055.71248,4322794079.140574
bitcoin,2018-09-25,6596.1873,114024650850.04753,4626497701.607775
bitcoin,2018-09-26,6441.3115,111360852966.35107,4580781824.213022
bitcoin,2018-09-27,6462.7956,111760801180.65999,3788299697.410916
bitcoin,2018-09-28,6704.7042,115905890382.87775,4690261094.515134
bitcoin,2018-09-29,6634.766,114768551691.0015,3140320712.2600975
bitcoin,2018-09-30,6606.0738,114265552573.72394,2294291064.4914503
bitcoin,2018-10-01,6626.038,114617564007.79602,1908960742.721659
bitcoin,2018-10-02,6598.8413,114225251470.51224,1893760872.9018476
bitcoin,2018-10-03,6524.6077,112814709079.4464,2035903501.1612606
bitcoin,2018-10-04,6499.2624,112545036630.82414,2247969611.1974277
bitcoin,2018-10-05,6578.7018,113846158429.54834,2059404665.1894457
bitcoin,2018-10-06,6621.1894,114567814410.76247,1840911129.5584166
bitcoin,2018-10-07,6589.1247,114021329402.35275,1464404365.51708
