id,fecha,prices,market_caps,total_volumes
dogecoin,2018-09-11,0.0069,799471029.3022509,117455999.3507717
dogecoin,2018-09-12,0.0063,732643191.9613676,132976489.62643246
dogecoin,2018-09-13,0.0064,748866068.2349414,92457187.67574643
dogecoin,2018-09-14,0.0066,760677872.8850943,81929941.7424775
dogecoin,2018-09-15,0.0062,717419930.8165059,69389664.71572177
dogecoin,2018-09-16,0.0062,724088669.1996338,25495497.68746358
dogecoin,2018-09-17,0.0066,763449216.4528779,33931535.92502734
dogecoin,2018-09-18,0.0063,726149627.9645026,55310588.85060533
dogecoin,2018-09-19,0.006,692437703.0469636,65339957.11192523
dogecoin,2018-09-20,0.0056,652533947.8900948,58700359.261026226
dogecoin,2018-09-21,0.0057,662268776.954331,40734057.00977787
dogecoin,2018-09-22,0.0057,662557760.8032525,46315078.043363504
dogecoin,2018-09-23,0.0058,675594240.9774042,25316177.7157575
dogecoin,2018-09-24,0.0059,691607633.0692964,19903983.56657371
dogecoin,2018-09-25,0.0057,660940842.4667889,28334596.109473504
dogecoin,2018-09-26,0.0057,668458004.6368084,37863779.23574166
dogecoin,2018-09-27,0.0058,669315660.3911211,20049763.683175046
dogecoin,2018-09-28,0.0059,685148286.852787,30153540.749888886
dogecoin,2018-09-29,0.0059,683725924.914398,32655869.446617216
dogecoin,2018-09-30,0.0059,685053385.9865454,22195771.888809502
dogecoin,2018-10-01,0.0059,691874674.1375976,27913420.359766845
dogecoin,2018-10-02,0.006,693369807.905656,32441058.303301185
dogecoin,2018-10-03,0.0058,678560009.3299688,24158070.715087842
dogecoin,2018-10-04,0.0057,668356409.1778175,39003795.89803629
dogecoin,2018-10-05,0.0057,658554448.606906,39675967.02660533
dogecoin,2018-10-06,0.0057,661849317.2487319,33555941.79704418
dogecoin,2018-10-07,0.0056,650756160.578397,46254394.24100503
dogecoin,2018-10-08,0.0056,652610280.0032058,45079701.476555176
dogecoin,2018-10-09,0.0056,656466356.0101252,68655357.70456645
dogecoin,2018-10-10,0.0056,656491356.8694572,47416252.01813863
dogecoin,2018-10-11,0.0056,652552530.7811029,52730948.79760234
dogecoin,2018-10-12,0.0051,589409791.0524116,101460692.52856307
dogecoin,2018-10-13,0.0053,614876281.8618666,60091426.974412896
dogecoin,2018-10-14,0.0052,610379977.114057,36985605.21241233
dogecoin,2018-10-15,0.0052,609536185.0690247,35334253.64089598
dogecoin,2018-10-16,0.0054,624429338.7988721,105442541.4394646
dogecoin,2018-10-17,0.0051,595577161.8316729,43932582.40420739
dogecoin,2018-10-18,0.0047,546274169.9492223,54519541.31783434
dogecoin,2018-10-19,0.0044,518563653.8831082,59860877.6188293
dogecoin,2018-10-20,0.0045,529544890.73238605,51456237.10118796
dogecoin,2018-10-21,0.0046,537765179.0546366,31794823.47437788
dogecoin,2018-10-22,0.0046,531619294.0471859,34806957.550846495
dogecoin,2018-10-23,0.0045,522287161.5211046,38638613.49889887
dogecoin,2018-10-24,0.0042,492136865.31140745,43205613.85083542
dogecoin,2018-10-25,0.0039,460290093.0383369,49560452.788100906
dogecoin,2018-10-26,0.0037,436326808.83382016,35064154.65149261
dogecoin,2018-10-27,0.004,468470525.8467178,44783257.158157416
dogecoin,2018-10-28,0.0042,490660023.157116,52554600.81176609
dogecoin,2018-10-29,0.0041,481704176.82065004,32694411.014697835
dogecoin,2018-10-30,0.0039,457894783.7404426,49584745.38536904
dogecoin,2018-10-31,0.0039,453614593.52990973,32110880.53563599
dogecoin,2018-11-01,0.0038,444017276.8605213,32876351.019865464
dogecoin,2018-11-02,0.0038,440948457.8740231,28808918.29954665
dogecoin,2018-11-03,0.0038,442502544.44393545,32429149.79112027
dogecoin,2018-11-04,0.0038,438598176.9973159,32795656.97512961
dogecoin,2018-11-05,0.0037,426483985.64668447,48552099.861784615
dogecoin,2018-11-06,0.0036,422689207.50017935,44038431.388012044
dogecoin,2018-11-07,0.0037,431969150.0160334,57720725.999647334
dogecoin,2018-11-08,0.0036,425053076.54034543,40695141.02295178
dogecoin,2018-11-09,0.0034,396781335.1824506,39680510.13386186
dogecoin,2018-11-10,0.0031,366511242.74073035,46045251.456877016
dogecoin,2018-11-11,0.0033,384859982.0915158,39024459.05593655
dogecoin,2018-11-12,0.0032,369687654.1896305,27913846.389733948
dogecoin,2018-11-13,0.0031,358177186.50767606,29251210.174490314
dogecoin,2018-11-14,0.003,345155963.923236,28749683.201729674
dogecoin,2018-11-15,0.0027,320433288.6774121,45329973.732532926
dogecoin,2018-11-16,0.0028,330135713.0109785,52740951.0198786
dogecoin,2018-11-17,0.0028,323767178.64170164,44261260.697096184
dogecoin,2018-11-18,0.0026,305712328.41275525,33180812.28214589
dogecoin,2018-11-19,0.0026,308366870.772236,28686382.672230333
dogecoin,2018-11-20,0.0024,282278657.36478394,52185354.10134312
dogecoin,2018-11-21,0.0022,261951119.15331784,58142222.210210435
dogecoin,2018-11-22,0.0025,288229813.7285513,47954470.65323399
dogecoin,2018-11-23,0.0024,280595248.9220862,25485802.081322175
dogecoin,2018-11-24,0.0024,279806752.16142213,25383530.096758507
dogecoin,2018-11-25,0.0023,263579722.51007113,27639935.324260727
dogecoin,2018-11-26,0.0022,261804441.9714869,31809429.493063025
dogecoin,2018-11-27,0.0021,248132351.8712619,27193708.909464028
dogecoin,2018-11-28,0.0021,244203124.53620434,27586172.611805815
dogecoin,2018-11-29,0.0022,263214270.48129073,33583756.305715635
