id,fecha,prices,market_caps,total_volumes
ethereum,2018-09-11,196.3615,19995395751.499054,2491788678.425953
ethereum,2018-09-12,184.0822,18758112117.52692,2596452765.8883944
ethereum,2018-09-13,182.9456,18646346738.68822,2604494814.9428654
ethereum,2018-09-14,211.8267,21593950253.338764,3501498582.9411836
ethereum,2018-09-15,211.3836,21564238470.858032,3131560545.2123165
ethereum,2018-09-16,223.0531,22752839429.228737,2852106466.4745975
ethereum,2018-09-17,220.1416,22455303413.059746,2369163812.379939
ethereum,2018-09-18,196.5766,20051344766.00986,2973745225.343125
ethereum,2018-09-19,210.1507,21444053203.54171,2669510295.5159802
ethereum,2018-09-20,209.1425,21345953864.748203,2532964971.008765
ethereum,2018-09-21,224.381,22905841034.88813,2506415802.825286
ethereum,2018-09-22,247.41,25265891712.53375,3224898332.902585
ethereum,2018-09-23,241.8437,24698456681.437977,2253360127.7800627
ethereum,2018-09-24,244.7848,25008142946.45999,2228170858.2763815
ethereum,2018-09-25,228.3409,23326983438.531864,2153893196.3090963
ethereum,2018-09-26,219.5043,22430430093.888412,4690848657.831447
ethereum,2018-09-27,214.9794,21996083267.123955,2266901693.2743306
ethereum,2018-09-28,229.222,23427304227.532307,2324850663.3816543
ethereum,2018-09-29,222.2292,22728786275.759216,1941656837.4249225
ethereum,2018-09-30,231.7359,23704835590.94445,2157048771.9024014
ethereum,2018-10-01,232.7814,23810956054.875587,1696510081.8875268
ethereum,2018-10-02,231.1437,23660128684.62694,1380169412.0950716
ethereum,2018-10-03,225.7949,23102075847.08329,1289588248.9376829
ethereum,2018-10-04,220.4745,22578266460.225845,1484341832.0366879
ethereum,2018-10-05,222.1958,22746296668.385403,1299403541.2219515
ethereum,2018-10-06,228.0361,23346587563.266563,1343329878.055222
ethereum,2018-10-07,225.0688,23047878586.785908,1289880374.6702132
ethereum,2018-10-08,225.6583,23108155611.30217,1219257804.378523
ethereum,2018-10-09,229.5246,23515310563.890266,1307100279.2014499
ethereum,2018-10-10,227.9689,23360773268.500908,1144035692.1601665
ethereum,2018-10-11,225.662,23136932206.46423,1221609498.330973
ethereum,2018-10-12,192.0011,19696329362.922806,1985897938.5728974
ethereum,2018-10-13,197.068,20205253420.305264,1432531941.2853491
ethereum,2018-10-14,201.0535,20618468437.571827,1075912682.4856188
ethereum,2018-10-15,196.3187,20154043106.326366,1120326805.1559036
ethereum,2018-10-16,212.2031,21758441436.75235,3003242429.5916
ethereum,2018-10-17,212.4443,21797843239.523815,1278234751.758753
ethereum,2018-10-18,211.0827,21665771379.758472,1230898825.0612144
ethereum,2018-10-19,204.313,20978898040.00994,1267340948.4957962
ethereum,2018-10-20,203.9763,20944981899.996338,1230724742.5840461
ethereum,2018-10-21,206.8821,21245961049.679523,1154390188.6976511
ethereum,2018-10-22,206.3098,21194118735.35679,1070945888.3231828
ethereum,2018-10-23,205.0378,21065455939.758324,1242296100.6213374
ethereum,2018-10-24,204.0839,20971271070.992756,1232758658.0737
ethereum,2018-10-25,203.5222,20915202600.824116,1220612744.1480913
ethereum,2018-10-26,202.353,20806627800.42047,1165395713.6574717
ethereum,2018-10-27,203.385,20912618603.71542,1294283606.8483193
ethereum,2018-10-28,203.1874,20895701368.92201,1055337328.7702934
