id,fecha,prices,market_caps,total_volumes
ripple,2018-09-11,0.2688,10596352112.37574,302129589.07956
ripple,2018-09-12,0.2638,10479436626.168451,311759794.9838595
ripple,2018-09-13,0.2702,10728419561.688984,342327516.730922
ripple,2018-09-14,0.2808,11159313709.477243,363840606.5867251
ripple,2018-09-15,0.2769,11041033721.071878,326677786.44595754
ripple,2018-09-16,0.2819,11216254780.528734,250387720.51287615
ripple,2018-09-17,0.2812,11194463090.429113,241091500.85941184
ripple,2018-09-18,0.2713,10795790569.815594,285533927.5424672
ripple,2018-09-19,0.322,12819035863.049355,674858731.0026356
ripple,2018-09-20,0.326,12977940207.449564,525069885.21176994
ripple,2018-09-21,0.4496,17898790632.300175,1394001878.255684
ripple,2018-09-22,0.5654,22508786167.298504,4307403389.008946
ripple,2018-09-23,0.5734,22828455869.729145,2492897027.684864
ripple,2018-09-24,0.5725,22800880961.213734,1064007679.1837506
ripple,2018-09-25,0.4944,19718230715.169506,1013020980.962001
ripple,2018-09-26,0.5281,21056753595.738876,1723375409.182053
ripple,2018-09-27,0.515,20581970432.18768,1639250152.1956763
ripple,2018-09-28,0.5423,21627253103.296227,859572804.3009448
ripple,2018-09-29,0.5401,21542536789.536087,738590479.0948968
ripple,2018-09-30,0.5716,22791840106.113216,1081239677.1286824
ripple,2018-10-01,0.5816,23189480865.26736,1308391504.2404637
ripple,2018-10-02,0.5774,23123938642.88499,1397493860.1884134
ripple,2018-10-03,0.5167,20634734487.43324,700808852.0455769
ripple,2018-10-04,0.5285,21124163661.194836,828787430.3071119
ripple,2018-10-05,0.5275,21067595467.36635,596664917.2537743
ripple,2018-10-06,0.5198,20752173732.476128,582795301.1392149
ripple,2018-10-07,0.4887,19516196478.888077,710572866.3788797
ripple,2018-10-08,0.4831,19291506495.61421,559788282.9429944
ripple,2018-10-09,0.4912,19615382264.346497,571441759.6639591
ripple,2018-10-10,0.4803,19168497764.885136,434700458.36173064
ripple,2018-10-11,0.4631,18518925200.843914,419667835.81864566
ripple,2018-10-12,0.3828,15322354788.049217,919679024.4076544
ripple,2018-10-13,0.4213,16856988701.192656,974718176.8852942
ripple,2018-10-14,0.4221,16883106434.543224,420676075.2775871
ripple,2018-10-15,0.4052,16207792649.503016,339593825.34062314
ripple,2018-10-16,0.453,18121375435.246593,1229625623.4448094
ripple,2018-10-17,0.4758,19021766473.118164,696224404.0064733
ripple,2018-10-18,0.4759,19035355587.47732,711807146.9203615
ripple,2018-10-19,0.4614,18456907922.110493,637016687.1544831
ripple,2018-10-20,0.4577,18303290653.94065,444255149.0777193
ripple,2018-10-21,0.4642,18562875454.128372,426405354.3062249
ripple,2018-10-22,0.4608,18434111772.681038,446592474.0009685
ripple,2018-10-23,0.4568,18269961761.09505,317539422.8461864
ripple,2018-10-24,0.464,18555820663.916576,646754243.9847931
ripple,2018-10-25,0.4588,18351057348.479713,520379443.11206263
ripple,2018-10-26,0.4605,18513396467.526398,445181041.13247615
ripple,2018-10-27,0.4616,18560429762.780533,396254310.2027455
ripple,2018-10-28,0.4574,18386651634.08071,289043924.6332402
ripple,2018-10-29,0.4631,18621107767.1057,334957518.39887416
ripple,2018-10-30,0.4409,17730905670.74596,480694704.68585455
ripple,2018-10-31,0.4467,17992858602.574776,227040091.18113282
ripple,2018-11-01,0.4536,18235384769.580273,302071251.8051166
ripple,2018-11-02,0.4581,18407702949.31377,382968051.22778344
ripple,2018-11-03,0.4617,18563394440.707493,493211574.1821052
ripple,2018-11-04,0.4571,18374670192.030453,420589523.1516317
ripple,2018-11-05,0.4599,18464055437.74131,618149344.708048
ripple,2018-11-06,0.4967,19968924485.02773,924082201.4435482
ripple,2018-11-07,0.55,22052163757.53378,1853044742.6153755
ripple,2018-11-08,0.5391,21647736307.299713,895312330.87796
ripple,2018-11-09,0.4967,19989669414.538494,898074715.9610361
ripple,2018-11-10,0.5026,20201320299.59929,671999305.7276108
ripple,2018-11-11,0.5081,20364615755.763073,438844393.5590643
ripple,2018-11-12,0.5088,20455994329.648937,514239181.19477665
ripple,2018-11-13,0.521,20945971834.069374,857397372.1645775
ripple,2018-11-14,0.5134,20634554378.108093,764601053.464545
ripple,2018-11-15,0.4773,19223078147.536877,1739603421.6553605
ripple,2018-11-16,0.4866,19596800393.614944,1304087630.0706875
ripple,2018-11-17,0.4748,19122283610.21063,695872789.5182846
ripple,2018-11-18,0.4955,19927766078.410328,740803249.7613866
ripple,2018-11-19,0.5132,20683559661.248222,1019902684.0112827
ripple,2018-11-20,0.4817,19475180318.07843,1849155450.3441095
ripple,2018-11-21,0.4366,17470153482.70859,1948711156.443433
ripple,2018-11-22,0.4497,18177510275.85437,1389721463.274982
ripple,2018-11-23,0.4259,17319330511.41042,233415635.5819044
ripple,2018-11-24,0.4124,16631185564.048267,1028685413.0798199
ripple,2018-11-25,0.3772,15211737209.168392,856816582.2198724
ripple,2018-11-26,0.3783,15256365101.797823,1580182738.2326925
ripple,2018-11-27,0.3595,14584111459.4005,1371317182.3991518
ripple,2018-11-28,0.3617,14637764209.215908,770673150.762545
ripple,2018-11-29,0.3913,15837154996.202969,1005109623.0877391
ripple,2018-11-30,0.3797,15301150890.891167,814252722.2040832
ripple,2018-12-01,0.3625,14607505065.57019,640077941.5033094
ripple,2018-12-02,0.3729,15037828750.622845,563433646.8794563
ripple,2018-12-03,0.3658,14726250317.919899,490227128.43539727
ripple,2018-12-04,0.3493,14105961946.025335,572225365.6169361
ripple,2018-12-05,0.3519,14192258566.497477,612588703.9708402
ripple,2018-12-06,0.34,13710340969.7644,516275230.8265868
ripple,2018-12-07,0.3075,12398899724.575516,618353022.0128005
ripple,2018-12-08,0.3017,12349261631.388659,789737466.8838176
ripple,2018-12-09,0.3047,12452898106.709892,560386252.7822305
ripple,2018-12-10,0.3098,12684353401.858206,490041596.4505556
ripple,2018-12-11,0.2993,12249738517.795769,441301530.03789735
ripple,2018-12-12,0.2984,12215030952.889633,434127326.3994019
ripple,2018-12-13,0.3041,12444768877.331896,415346726.8371265
ripple,2018-12-14,0.2986,12204504799.59126,345848701.594778
ripple,2018-12-15,0.2877,11774199963.56171,374582816.1116598
ripple,2018-12-16,0.2837,11614715521.826195,331022737.6109589
ripple,2018-12-17,0.2858,11722261490.328615,377515174.157066
ripple,2018-12-18,0.3251,13251262692.552494,766955295.8408235
ripple,2018-12-19,0.3476,14171921169.491089,887290814.3520457
ripple,2018-12-20,0.3481,14212434652.549297,1221881562.6261837
ripple,2018-12-21,0.3733,15161220922.752743,1189319604.039187
ripple,2018-12-22,0.3552,14504196617.269583,890230980.5226151
ripple,2018-12-23,0.3583,14597973729.318842,576220385.4312642
ripple,2018-12-24,0.3668,14948565151.309673,703609620.5031618
ripple,2018-12-25,0.4052,16596816211.777884,2027380717.3608372
ripple,2018-12-26,0.3752,15275469186.631643,1180670034.8585677
ripple,2018-12-27,0.3738,15259145515.584234,830120655.213931
ripple,2018-12-28,0.3348,13692601724.80256,701672123.3682529
ripple,2018-12-29,0.3695,15059014736.113764,916292442.6195465
ripple,2018-12-30,0.3636,14868735706.887466,643772898.1106855
