id,fecha,prices,market_caps,total_volumes
tether,2018-09-11,0.9988,2811552368.644348,145188131.89828366
tether,2018-09-12,0.9997,2812137479.260313,149542385.36673272
tether,2018-09-13,0.9994,2811471886.824074,144294630.3208605
tether,2018-09-14,0.9993,2787130230.2517676,147259662.45284465
tether,2018-09-15,1.0,2786121046.515283,153457980.90182647
tether,2018-09-16,1.0004,2789163924.121038,112082132.88977736
tether,2018-09-17,1.0013,2791102224.4472256,111924746.99998511
tether,2018-09-18,1.0001,2784048694.943757,140550021.12877575
tether,2018-09-19,0.9993,2785192872.4087276,140334543.06312495
tether,2018-09-20,1.0006,2788943336.1977253,113785163.67130493
tether,2018-09-21,1.0015,2791634391.073009,118225584.0349562
tether,2018-09-22,1.0002,2787935806.558183,211815031.34055725
tether,2018-09-23,1.0042,2798948786.2280807,130336623.54495701
tether,2018-09-24,0.9992,2785206696.5311213,113281738.94148834
tether,2018-09-25,1.0005,2788848806.7794623,135417232.44893277
tether,2018-09-26,0.9992,2784475866.7786613,165929123.01898435
tether,2018-09-27,1.0004,2788802967.69347,135936950.47378808
tether,2018-09-28,1.0011,2793938156.748332,151695982.40251103
tether,2018-09-29,0.9996,2786516141.772556,146279560.223646
tether,2018-09-30,1.0003,2786984879.5727835,151431879.31296262
tether,2018-10-01,0.9999,2787146947.902186,139339764.06859887
tether,2018-10-02,0.999,2784012202.20502,147267340.54163063
tether,2018-10-03,0.9978,2780675054.058713,108791430.62934117
tether,2018-10-04,0.9994,2783984271.383165,117307796.73897012
tether,2018-10-05,1.0,2787393920.869337,109163118.51043735
tether,2018-10-06,0.9987,2783163158.37637,82904990.55543749
tether,2018-10-07,1.0003,2788311598.5473137,84072638.44935074
tether,2018-10-08,0.9998,2786255878.602316,65173094.829102844
tether,2018-10-09,0.9993,2786297377.8210297,70625466.2823171
tether,2018-10-10,0.9975,2781073505.6273065,64067243.08500198
tether,2018-10-11,0.9953,2773726364.82801,62179023.204940826
tether,2018-10-12,0.9986,2783485294.021143,176485624.45736912
tether,2018-10-13,0.9981,2782596917.9356513,103905900.46154694
tether,2018-10-14,0.9977,2780610026.531775,60636644.174209006
tether,2018-10-15,0.996,2780058251.4118385,50247059.92404083
tether,2018-10-16,0.9856,2741743088.786245,246203417.96966273
tether,2018-10-17,0.9825,2738404240.1470094,108158181.77538739
tether,2018-10-18,0.9887,2755618646.1224275,88978845.56993973
tether,2018-10-19,0.9876,2754104126.3584948,72237743.49075593
tether,2018-10-20,0.9947,2771835186.2940855,91279264.7016434
tether,2018-10-21,0.9933,2769255515.863117,53175762.92037533
tether,2018-10-22,0.993,2767264866.7490535,42000080.93612547
tether,2018-10-23,0.9941,2770816158.1353126,85638828.46086644
tether,2018-10-24,0.9905,2087254167.3464713,76219991.70180726
tether,2018-10-25,0.9917,2039936496.9649203,87281638.96105605
tether,2018-10-26,0.9914,2040926052.530425,63012137.763688706
tether,2018-10-27,0.9924,2041779778.3549309,85023001.60605739
tether,2018-10-28,0.994,2045854211.5300248,52224601.418779545
tether,2018-10-29,0.9966,2050417736.83586,66459633.92200124
tether,2018-10-30,0.9942,2045435957.1106632,74861264.50799078
tether,2018-10-31,0.9983,2054102037.623181,70119495.43087755
