id,fecha,prices,market_caps,total_volumes
uniswap,2020-09-17,3.4438,219913212.47869825,1802085330.293668
uniswap,2020-09-18,3.4438,219913212.47869825,1802085330.293668
uniswap,2020-09-19,7.0977,732822061.0330778,5688408416.882498
uniswap,2020-09-20,5.7021,647208421.0707141,2050756493.492213
uniswap,2020-09-21,5.2566,632421347.516945,1316669226.584856
uniswap,2020-09-22,4.2948,526520586.45950305,1074198632.0904953
uniswap,2020-09-23,3.9084,487186362.8207511,697928916.822781
uniswap,2020-09-24,4.3429,558449301.5904285,976430280.4460803
uniswap,2020-09-25,5.1386,670712373.8758416,776760499.8672208
uniswap,2020-09-26,4.9081,646853075.535181,626823584.8121408
uniswap,2020-09-27,4.8684,691125372.1503159,363925152.74854934
uniswap,2020-09-28,4.845,689402232.077857,341577705.09212464
uniswap,2020-09-29,4.2519,622352706.2677807,335772345.2750809
uniswap,2020-09-30,4.3415,641030584.1185127,279012123.5261533
uniswap,2020-10-01,4.1533,620840802.3152523,215900631.37764022
uniswap,2020-10-02,4.244,636514926.1406465,370977286.8729862
uniswap,2020-10-03,3.9008,643770085.9726512,326043384.3933095
uniswap,2020-10-04,3.8945,704073930.1747521,212356215.25192958
uniswap,2020-10-05,3.7212,676286308.1652026,244544989.9204514
uniswap,2020-10-06,3.3215,604064456.4319453,298746894.4948947
uniswap,2020-10-07,2.6923,484435475.7614607,384108414.06590426
uniswap,2020-10-08,2.9633,540709193.0312451,438926126.0949557
uniswap,2020-10-09,3.3087,603384806.4011482,487646893.72824025
uniswap,2020-10-10,3.4064,624766817.7307591,377780662.24262124
uniswap,2020-10-11,3.2985,605086419.1414492,285868091.8782006
uniswap,2020-10-12,3.374,620284007.0059217,198779007.34591478
uniswap,2020-10-13,3.4497,636858098.7676747,262845150.32599124
uniswap,2020-10-14,3.35,619474718.5315651,156290894.7283672
uniswap,2020-10-15,3.1228,577560863.213238,260812435.53290272
uniswap,2020-10-16,3.0775,573329621.3129594,223937288.66708416
uniswap,2020-10-17,3.0356,568053942.0466825,311404752.2546533
uniswap,2020-10-18,3.0728,573608919.3394606,158485458.09938937
uniswap,2020-10-19,3.266,658475452.6602299,153578565.9021965
uniswap,2020-10-20,3.1709,638986846.1577828,177367219.185632
uniswap,2020-10-21,2.8533,574630017.2192171,267899120.4802981
uniswap,2020-10-22,2.931,590704390.9094771,242609502.30000964
uniswap,2020-10-23,3.0305,613902134.4513645,179057034.57620853
uniswap,2020-10-24,3.0087,608790596.9414719,157171970.1050009
uniswap,2020-10-25,2.9413,594863487.4925164,114649947.17601904
uniswap,2020-10-26,2.7723,582236710.6524885,138696963.62674186
uniswap,2020-10-27,2.7107,569460992.1533448,186029316.91562256
uniswap,2020-10-28,2.8172,595487146.8850842,188714502.28583327
uniswap,2020-10-29,2.6705,563330287.0275949,147809519.0275576
uniswap,2020-10-30,2.5374,536652174.1634711,130705348.51051356
uniswap,2020-10-31,2.41,509800102.67010105,219373066.75671974
uniswap,2020-11-01,2.261,479933274.3121692,112447743.3022698
uniswap,2020-11-02,2.3738,505102350.9126218,123598089.32183826
uniswap,2020-11-03,2.2518,482105416.860576,129313651.14587164
uniswap,2020-11-04,2.1373,459013051.13185984,106587850.41473934
uniswap,2020-11-05,1.9282,411540818.446762,118641534.8189223
uniswap,2020-11-06,2.2069,472797950.4393272,344459948.36912775
uniswap,2020-11-07,2.5487,546090935.4543844,407112159.3484543
uniswap,2020-11-08,2.4813,535529641.5250265,491671462.8606986
uniswap,2020-11-09,2.8768,620585818.9074469,278969229.5601973
uniswap,2020-11-10,2.6728,573849148.3657682,262312751.12296724
uniswap,2020-11-11,3.0499,656695052.9585853,285676579.766339
uniswap,2020-11-12,2.9376,630203163.1012877,290189822.8639477
uniswap,2020-11-13,2.9621,638318912.7352413,266553988.6727794
uniswap,2020-11-14,3.8872,837054899.1487976,476124356.87531024
uniswap,2020-11-15,3.8117,824295398.9563959,406943170.6587308
uniswap,2020-11-16,3.8665,832451942.6779054,416448751.32485884
uniswap,2020-11-17,3.5778,770626828.1027259,418257582.48993695
uniswap,2020-11-18,3.8289,823469580.4665115,404729766.5233903
uniswap,2020-11-19,3.4643,744366290.5439156,349115856.6319695
uniswap,2020-11-20,3.7292,801066288.3822533,371297515.18057406
uniswap,2020-11-21,3.842,823599938.8097627,451935722.0365768
uniswap,2020-11-22,3.8225,819420815.5549861,457778339.4355159
uniswap,2020-11-23,3.6821,798274699.6803893,398423650.61119413
uniswap,2020-11-24,4.1605,888267428.9186445,500339828.16504496
uniswap,2020-11-25,4.0532,875380216.1524823,494435418.46095675
